locus	primary_accession	accession_version	isolate
QIC50516	QIC50516	QIC50516.1	SARS-CoV-2/HS_194/human/2020/CHN
QIC50515	QIC50515	QIC50515.1	SARS-CoV-2/HS_92/human/2020/CHN
QIC50514	QIC50514	QIC50514.1	SARS-CoV-2/HS_86/human/2020/CHN
QIC50513	QIC50513	QIC50513.1	SARS-CoV-2/HS_84/human/2020/CHN
QIC50512	QIC50512	QIC50512.1	SARS-CoV-2/HS_64/human/2020/CHN
QIC50511	QIC50511	QIC50511.1	SARS-CoV-2/HS_46/human/2020/CHN
QIC50510	QIC50510	QIC50510.1	SARS-CoV-2/HS_38/human/2020/CHN
QIC50509	QIC50509	QIC50509.1	SARS-CoV-2/HS_18/human/2020/CHN
QIC50508	QIC50508	QIC50508.1	SARS-CoV-2/HS_17/human/2020/CHN
QIC50507	QIC50507	QIC50507.1	SARS-CoV-2/HS_8/human/2020/CHN
BCA25682	BCA25682	BCA25682.1	
BCA25681	BCA25681	BCA25681.1	
BCA25680	BCA25680	BCA25680.1	
BCA25679	BCA25679	BCA25679.1	
BCA25678	BCA25678	BCA25678.1	
BCA25677	BCA25677	BCA25677.1	
BCA25676	BCA25676	BCA25676.1	
BCA25675	BCA25675	BCA25675.1	
BCA25674	BCA25674	BCA25674.1	
BCA25673	BCA25673	BCA25673.1	
BCA25672	BCA25672	BCA25672.1	
BCA25671	BCA25671	BCA25671.1	
BCA25670	BCA25670	BCA25670.1	
BCA25669	BCA25669	BCA25669.1	
BCA25668	BCA25668	BCA25668.1	
BCA25667	BCA25667	BCA25667.1	
BCA25666	BCA25666	BCA25666.1	
BCA25665	BCA25665	BCA25665.1	
BCA25664	BCA25664	BCA25664.1	
BCA25663	BCA25663	BCA25663.1	
BCA25662	BCA25662	BCA25662.1	
BCA25661	BCA25661	BCA25661.1	
BCA25660	BCA25660	BCA25660.1	
BCA25659	BCA25659	BCA25659.1	
BCA25658	BCA25658	BCA25658.1	
BCA25657	BCA25657	BCA25657.1	
BCA25656	BCA25656	BCA25656.1	
BCA25655	BCA25655	BCA25655.1	
BCA25654	BCA25654	BCA25654.1	
BCA25653	BCA25653	BCA25653.1	
BCA25652	BCA25652	BCA25652.1	
BCA25651	BCA25651	BCA25651.1	
BCA25650	BCA25650	BCA25650.1	
BCA25649	BCA25649	BCA25649.1	
BCA25648	BCA25648	BCA25648.1	
BCA25647	BCA25647	BCA25647.1	
BCA25646	BCA25646	BCA25646.1	
BCA25645	BCA25645	BCA25645.1	
BCA25644	BCA25644	BCA25644.1	
BCA25643	BCA25643	BCA25643.1	
QIB84670	QIB84670	QIB84670.1	SARS-CoV-2/GHB-03021/human/2020/BEL
QIB84671	QIB84671	QIB84671.1	SARS-CoV-2/GHB-03021/human/2020/BEL
QIB84681	QIB84681	QIB84681.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIB84680	QIB84680	QIB84680.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIB84679	QIB84679	QIB84679.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIB84678	QIB84678	QIB84678.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIB84677	QIB84677	QIB84677.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIB84676	QIB84676	QIB84676.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIB84675	QIB84675	QIB84675.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIB84674	QIB84674	QIB84674.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIB84673	QIB84673	QIB84673.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIB84672	QIB84672	QIB84672.1	SARS0CoV-2/61-TW/human/2020/ NPL
QIA98614	QIA98614	QIA98614.1	SARS-CoV-2/NTU02/2020/TWN
QIA98613	QIA98613	QIA98613.1	SARS-CoV-2/NTU02/2020/TWN
QIA98612	QIA98612	QIA98612.1	SARS-CoV-2/NTU02/2020/TWN
