accession_version	isolate	locus	primary_accession
6NB7_C		6NB7_C	6NB7_C
6NB7_B		6NB7_B	6NB7_B
6NB7_A		6NB7_A	6NB7_A
6NB6_C		6NB6_C	6NB6_C
6NB6_B		6NB6_B	6NB6_B
6NB6_A		6NB6_A	6NB6_A
2MM4_A		2MM4_A	2MM4_A
2Z3C_A		2Z3C_A	2Z3C_A
P0C6U8.1		R1A_CVHSA	P0C6U8
P0C6X7.1		R1AB_CVHSA	P0C6X7
Q7TFA1.1		NS7B_CVHSA	Q7TFA1
Q7TFA0.1		NS8A_CVHSA	Q7TFA0
Q80H93.1		NS8B_CVHSA	Q80H93
P59635.1		NS7A_CVHSA	P59635
P59634.1		NS6_CVHSA	P59634
P59633.1		NS3B_CVHSA	P59633
P59632.1		AP3A_CVHSA	P59632
P59636.1		ORF9B_CVHSA	P59636
P59595.1		NCAP_CVHSA	P59595
6NUS_B		6NUS_B	6NUS_B
6NUS_A		6NUS_A	6NUS_A
6NUR_D		6NUR_D	6NUR_D
6NUR_C		6NUR_C	6NUR_C
6NUR_B		6NUR_B	6NUR_B
6NUR_A		6NUR_A	6NUR_A
6CS2_C		6CS2_C	6CS2_C
6CS2_B		6CS2_B	6CS2_B
6CS2_A		6CS2_A	6CS2_A
6CS1_A		6CS1_A	6CS1_A
6CS1_C		6CS1_C	6CS1_C
6CS1_B		6CS1_B	6CS1_B
6CS0_C		6CS0_C	6CS0_C
6CS0_B		6CS0_B	6CS0_B
6CS0_A		6CS0_A	6CS0_A
6CRZ_C		6CRZ_C	6CRZ_C
6CRZ_B		6CRZ_B	6CRZ_B
6CRZ_A		6CRZ_A	6CRZ_A
6CRX_A		6CRX_A	6CRX_A
6CRX_C		6CRX_C	6CRX_C
6CRX_B		6CRX_B	6CRX_B
6CRW_C		6CRW_C	6CRW_C
6CRW_B		6CRW_B	6CRW_B
6CRW_A		6CRW_A	6CRW_A
6CRV_C		6CRV_C	6CRV_C
6CRV_B		6CRV_B	6CRV_B
6CRV_A		6CRV_A	6CRV_A
5TL7_D		5TL7_D	5TL7_D
5TL7_B		5TL7_B	5TL7_B
5TL6_D		5TL6_D	5TL6_D
5TL6_B		5TL6_B	5TL6_B
2GA6_X		2GA6_X	2GA6_X
2GA6_W		2GA6_W	2GA6_W
2GA6_V		2GA6_V	2GA6_V
2GA6_U		2GA6_U	2GA6_U
2GA6_T		2GA6_T	2GA6_T
2GA6_S		2GA6_S	2GA6_S
2GA6_R		2GA6_R	2GA6_R
2GA6_Q		2GA6_Q	2GA6_Q
2GA6_P		2GA6_P	2GA6_P
2GA6_O		2GA6_O	2GA6_O
2GA6_N		2GA6_N	2GA6_N
2GA6_M		2GA6_M	2GA6_M
2GA6_L		2GA6_L	2GA6_L
2GA6_K		2GA6_K	2GA6_K
2GA6_J		2GA6_J	2GA6_J
2GA6_I		2GA6_I	2GA6_I
2GA6_H		2GA6_H	2GA6_H
2GA6_G		2GA6_G	2GA6_G
2GA6_F		2GA6_F	2GA6_F
2GA6_E		2GA6_E	2GA6_E
2GA6_D		2GA6_D	2GA6_D
2GA6_C		2GA6_C	2GA6_C
2GA6_B		2GA6_B	2GA6_B
2GA6_A		2GA6_A	2GA6_A
2G9T_X		2G9T_X	2G9T_X
2G9T_W		2G9T_W	2G9T_W
2G9T_V		2G9T_V	2G9T_V
2G9T_U		2G9T_U	2G9T_U
2G9T_T		2G9T_T	2G9T_T
2G9T_S		2G9T_S	2G9T_S
2G9T_R		2G9T_R	2G9T_R
2G9T_Q		2G9T_Q	2G9T_Q
2G9T_P		2G9T_P	2G9T_P
2G9T_O		2G9T_O	2G9T_O
2G9T_N		2G9T_N	2G9T_N
2G9T_M		2G9T_M	2G9T_M
2G9T_L		2G9T_L	2G9T_L
2G9T_K		2G9T_K	2G9T_K
2G9T_J		2G9T_J	2G9T_J
2G9T_I		2G9T_I	2G9T_I
2G9T_H		2G9T_H	2G9T_H
2G9T_G		2G9T_G	2G9T_G
2G9T_F		2G9T_F	2G9T_F
2G9T_E		2G9T_E	2G9T_E
2G9T_D		2G9T_D	2G9T_D
2G9T_C		2G9T_C	2G9T_C
2G9T_B		2G9T_B	2G9T_B
2G9T_A		2G9T_A	2G9T_A
5E6J_D		5E6J_D	5E6J_D
5E6J_A		5E6J_A	5E6J_A
6ACK_C		6ACK_C	6ACK_C
6ACK_B		6ACK_B	6ACK_B
6ACK_A		6ACK_A	6ACK_A
6ACJ_C		6ACJ_C	6ACJ_C
6ACJ_B		6ACJ_B	6ACJ_B
6ACJ_A		6ACJ_A	6ACJ_A
6ACG_C		6ACG_C	6ACG_C
6ACG_B		6ACG_B	6ACG_B
6ACG_A		6ACG_A	6ACG_A
6ACD_C		6ACD_C	6ACD_C
6ACD_B		6ACD_B	6ACD_B
6ACD_A		6ACD_A	6ACD_A
6ACC_C		6ACC_C	6ACC_C
6ACC_B		6ACC_B	6ACC_B
6ACC_A		6ACC_A	6ACC_A
5WRG_C		5WRG_C	5WRG_C
5WRG_B		5WRG_B	5WRG_B
5WRG_A		5WRG_A	5WRG_A
5XES_A		5XES_A	5XES_A
5XER_A		5XER_A	5XER_A
P59596.1		VME1_CVHSA	P59596
P59594.1		SPIKE_CVHSA	P59594
5XLR_C		5XLR_C	5XLR_C
5XLR_B		5XLR_B	5XLR_B
5XLR_A		5XLR_A	5XLR_A
6JYT_B		6JYT_B	6JYT_B
6JYT_A		6JYT_A	6JYT_A
P59637.1		VEMP_CVHSA	P59637
6IEX_C		6IEX_C	6IEX_C
3D0G_F		3D0G_F	3D0G_F
3D0G_E		3D0G_E	3D0G_E
2VJ1_B		2VJ1_B	2VJ1_B
2VJ1_A		2VJ1_A	2VJ1_A
2V6N_A		2V6N_A	2V6N_A
3SCL_F		3SCL_F	3SCL_F
3SCL_E		3SCL_E	3SCL_E
3SCK_F		3SCK_F	3SCK_F
3SCK_E		3SCK_E	3SCK_E
3SCJ_F		3SCJ_F	3SCJ_F
3SCJ_E		3SCJ_E	3SCJ_E
3SCI_F		3SCI_F	3SCI_F
3SCI_E		3SCI_E	3SCI_E
Q7TLC7.1		Y14_CVHSA	Q7TLC7
5ZVM_C		5ZVM_C	5ZVM_C
5ZVM_B		5ZVM_B	5ZVM_B
5ZVM_A		5ZVM_A	5ZVM_A
APO40587.1		APO40587	APO40587
APO40586.1		APO40586	APO40586
APO40585.1		APO40585	APO40585
APO40584.1		APO40584	APO40584
APO40583.1		APO40583	APO40583
APO40582.1		APO40582	APO40582
APO40581.1		APO40581	APO40581
APO40580.1		APO40580	APO40580
APO40579.1		APO40579	APO40579
APO40578.1		APO40578	APO40578
2RUO_A		2RUO_A	2RUO_A
2RUN_A		2RUN_A	2RUN_A
2RUM_A		2RUM_A	2RUM_A
1Q2W_B		1Q2W_B	1Q2W_B
1Q2W_A		1Q2W_A	1Q2W_A
3AW0_A		3AW0_A	3AW0_A
3AVZ_A		3AVZ_A	3AVZ_A
3D0I_F		3D0I_F	3D0I_F
3D0I_E		3D0I_E	3D0I_E
3D0H_F		3D0H_F	3D0H_F
3D0H_E		3D0H_E	3D0H_E
2CME_H		2CME_H	2CME_H
2CME_G		2CME_G	2CME_G
2CME_F		2CME_F	2CME_F
2CME_E		2CME_E	2CME_E
2CME_D		2CME_D	2CME_D
2CME_C		2CME_C	2CME_C
2CME_B		2CME_B	2CME_B
2CME_A		2CME_A	2CME_A
2AMD_B		2AMD_B	2AMD_B
2AMD_A		2AMD_A	2AMD_A
5X29_E		5X29_E	5X29_E
