accession_version	isolate	locus	primary_accession
6NB4_C		6NB4_C	6NB4_C
6NB4_B		6NB4_B	6NB4_B
6NB4_A		6NB4_A	6NB4_A
6NB3_C		6NB3_C	6NB3_C
6NB3_B		6NB3_B	6NB3_B
6NB3_A		6NB3_A	6NB3_A
QFS19686.1	SPC00797	QFS19686	QFS19686
QFS19685.1	SPC00799	QFS19685	QFS19685
QFS19684.1	SPC00798	QFS19684	QFS19684
QFS19683.1	SPC00637	QFS19683	QFS19683
QFS19682.1	SPC00622	QFS19682	QFS19682
QFS19681.1	SPC00619	QFS19681	QFS19681
QFS19680.1	SPC00342	QFS19680	QFS19680
QFS19679.1	SPC00314	QFS19679	QFS19679
QFS19678.1	MRZ-K-3142	QFS19678	QFS19678
QFS19677.1	SPC00267	QFS19677	QFS19677
QFS19676.1	SPC00241	QFS19676	QFS19676
QFS19675.1	M1-4873	QFS19675	QFS19675
QFS19674.1	B7-19-1a	QFS19674	QFS19674
QFS19673.1	B7-19-1	QFS19673	QFS19673
QFS19672.1	B7-16	QFS19672	QFS19672
QFS19671.1	B7-19-2	QFS19671	QFS19671
QFS19670.1	MAK30	QFS19670	QFS19670
QFS19669.1	B5-4	QFS19669	QFS19669
QFS19668.1	B5-12	QFS19668	QFS19668
QFS19667.1	B7-11	QFS19667	QFS19667
QFS19666.1	MKH-25a	QFS19666	QFS19666
QFS19665.1	SPC00803	QFS19665	QFS19665
QFS19664.1	SPC00736	QFS19664	QFS19664
QFS19663.1	SPC00579	QFS19663	QFS19663
QFS19662.1	SPC00553	QFS19662	QFS19662
QFS19661.1	SPC00536	QFS19661	QFS19661
QFS19660.1	SPC00535	QFS19660	QFS19660
QFS19659.1	SPC00533	QFS19659	QFS19659
QFS19658.1	SPC00469	QFS19658	QFS19658
QFS19657.1	SPC00468	QFS19657	QFS19657
QFS19656.1	SPC00466	QFS19656	QFS19656
QFS19655.1	SPC00462	QFS19655	QFS19655
QFS19654.1	SPC00461	QFS19654	QFS19654
QFS19653.1	SPC00320	QFS19653	QFS19653
QFS19652.1	SPC00242	QFS19652	QFS19652
QFS19651.1	SPC00237	QFS19651	QFS19651
QFS19650.1	SPC00236	QFS19650	QFS19650
QFS19649.1	SPC00233	QFS19649	QFS19649
QFS19648.1	SPC00156	QFS19648	QFS19648
QFS19647.1	MKH-2	QFS19647	QFS19647
QFS19646.1	MKH11	QFS19646	QFS19646
QFS19645.1	MKH28	QFS19645	QFS19645
QFS19644.1	MKH-25b	QFS19644	QFS19644
QFS19643.1	MKH4	QFS19643	QFS19643
QFS19642.1	MAK39-1	QFS19642	QFS19642
QFS19641.1	MAK39-2	QFS19641	QFS19641
QFS19640.1	MAK28	QFS19640	QFS19640
QFS19639.1	B7-7368	QFS19639	QFS19639
QFS19638.1	B7-38	QFS19638	QFS19638
QFS19637.1	B7-37	QFS19637	QFS19637
QFS19636.1	B7-31	QFS19636	QFS19636
QFS19635.1	B7-24	QFS19635	QFS19635
QFS19634.1	B7-1-1	QFS19634	QFS19634
QFS19633.1	B7-3	QFS19633	QFS19633
QFS19632.1	B7-1	QFS19632	QFS19632
QFS19631.1	B5-21	QFS19631	QFS19631
QFS19630.1	B5-13	QFS19630	QFS19630
QFS19629.1	B5-12-1	QFS19629	QFS19629
QFS19628.1	B5-10	QFS19628	QFS19628
QFS19627.1	B5-5	QFS19627	QFS19627
QFS19626.1	SPC00813	QFS19626	QFS19626
QFS19625.1	B5-8	QFS19625	QFS19625
QFS19624.1	SPC00269	QFS19624	QFS19624
QFS19623.1	SPC00258	QFS19623	QFS19623
QFS19622.1	SPC00532	QFS19622	QFS19622
QFS19621.1	SPC00398	QFS19621	QFS19621
