accession_version	isolate	locus	primary_accession
QHN70907.1		QHN70907	QHN70907
QHN70902.1		QHN70902	QHN70902
YP_009724390.1	Wuhan-Hu-1	YP_009724390	YP_009724390
QGW58079.1	BH171/14-7	QGW58079	QGW58079
QGW58072.1	BH128/14-12	QGW58072	QGW58072
QHI46389.1		QHI46389	QHI46389
QHI46387.1		QHI46387	QHI46387
6U7H_C		6U7H_C	6U7H_C
6U7H_B		6U7H_B	6U7H_B
6U7H_A		6U7H_A	6U7H_A
QEM43340.2	CT	QEM43340	QEM43340
QHD43124.1		QHD43124	QHD43124
QHB80054.1	GA/1359/1994	QHB80054	QHB80054
6Q07_C		6Q07_C	6Q07_C
6Q07_B		6Q07_B	6Q07_B
6Q07_A		6Q07_A	6Q07_A
6Q06_C		6Q06_C	6Q06_C
6Q06_B		6Q06_B	6Q06_B
6Q06_A		6Q06_A	6Q06_A
6Q05_C		6Q05_C	6Q05_C
6Q05_B		6Q05_B	6Q05_B
6Q05_A		6Q05_A	6Q05_A
6Q04_C		6Q04_C	6Q04_C
6Q04_B		6Q04_B	6Q04_B
6Q04_A		6Q04_A	6Q04_A
6U7F_D		6U7F_D	6U7F_D
6U7F_C		6U7F_C	6U7F_C
6U7E_D		6U7E_D	6U7E_D
6U7E_C		6U7E_C	6U7E_C
6OHW_C		6OHW_C	6OHW_C
6OHW_B		6OHW_B	6OHW_B
6OHW_A		6OHW_A	6OHW_A
6NZK_C		6NZK_C	6NZK_C
6NZK_B		6NZK_B	6NZK_B
6NZK_A		6NZK_A	6NZK_A
6NB7_L		6NB7_L	6NB7_L
6NB7_I		6NB7_I	6NB7_I
6NB7_H		6NB7_H	6NB7_H
6NB7_G		6NB7_G	6NB7_G
6NB7_E		6NB7_E	6NB7_E
6NB7_D		6NB7_D	6NB7_D
6NB7_C		6NB7_C	6NB7_C
6NB7_B		6NB7_B	6NB7_B
6NB7_A		6NB7_A	6NB7_A
6NB6_M		6NB6_M	6NB6_M
6NB6_L		6NB6_L	6NB6_L
6NB6_I		6NB6_I	6NB6_I
6NB6_H		6NB6_H	6NB6_H
6NB6_C		6NB6_C	6NB6_C
6NB6_B		6NB6_B	6NB6_B
6NB6_A		6NB6_A	6NB6_A
6NB4_L		6NB4_L	6NB4_L
6NB4_H		6NB4_H	6NB4_H
6NB4_C		6NB4_C	6NB4_C
6NB4_B		6NB4_B	6NB4_B
6NB4_A		6NB4_A	6NB4_A
6NB3_C		6NB3_C	6NB3_C
6NB3_B		6NB3_B	6NB3_B
6NB3_E		6NB3_E	6NB3_E
6NB3_D		6NB3_D	6NB3_D
6NB3_H		6NB3_H	6NB3_H
6NB3_L		6NB3_L	6NB3_L
6NB3_A		6NB3_A	6NB3_A
6CCB_G		6CCB_G	6CCB_G
6CCB_C		6CCB_C	6CCB_C
6CCB_B		6CCB_B	6CCB_B
6CCB_A		6CCB_A	6CCB_A
